origen,origen_lat,origen_lon,destino,destino_lat,destino_lon,poblacion_total
03 Baja California Sur,25.846111,-111.972778,2 Aguascalientes,21.880833,-102.296111,243
31 YucatÃ¡n,20.833333,-89,47 Nayarit,21.743889,-105.228333,240
04 Campeche,18.836389,-90.403333,21 Nayarit,21.743889,-105.228333,230
04 Campeche,18.836389,-90.403333,35 Zacatecas,23.292778,-102.700556,229
04 Campeche,18.836389,-90.403333,32 Tlaxcala,19.428889,-98.160833,227
04 Campeche,18.836389,-90.403333,3 Aguascalientes,21.880833,-102.296111,221
48 Nayarit,21.743889,-105.228333,46 Tlaxcala,19.428889,-98.160833,221
23 Quintana Roo,19.6,-87.916667,27 Colima,19.096667,-103.960833,217
31 YucatÃ¡n,20.833333,-89,39 Durango,24.934722,-104.911944,199
03 Baja California Sur,25.846111,-111.972778,33 YucatÃ¡n,20.833333,-89,198
61 YucatÃ¡n,20.833333,-89,62 Zacatecas,23.292778,-102.700556,197
01 Aguascalientes,21.880833,-102.296111,27 Tabasco,17.972222,-92.588889,175
03 Baja California Sur,25.846111,-111.972778,34 Zacatecas,23.292778,-102.700556,166
06 Colima,19.096667,-103.960833,34 Tlaxcala,19.428889,-98.160833,150
03 Baja California Sur,25.846111,-111.972778,31 Tlaxcala,19.428889,-98.160833,132
01 Aguascalientes,21.880833,-102.296111,04 Campeche,18.836389,-90.403333,123
53 Quintana Roo,19.6,-87.916667,54 Zacatecas,23.292778,-102.700556,109
03 Baja California Sur,25.846111,-111.972778,29 Tabasco,17.972222,-92.588889,84
03 Baja California Sur,25.846111,-111.972778,6 Campeche,18.836389,-90.403333,80
